GenBank Account #, Molecule Type, Molecule Length, Tax ID, Organism Name, Taxonomy
CP002886.1, Chromosome, 4734438, 1045856, Enterobacter cloacae EcWSU1 (enterobacteria), Enterobacter cloacae; Enterobacter cloacae complex; Enterobacter; Enterobacteriaceae; Enterobacterales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
CP002887.1, Plasmid, 63653, 1045856, Enterobacter cloacae EcWSU1 (enterobacteria), Enterobacter cloacae; Enterobacter cloacae complex; Enterobacter; Enterobacteriaceae; Enterobacterales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
CP003195.1, Chromosome, 2489623, 1114966, Propionibacterium acnes TypeIA2 P.acn33 (high GC Gram+), Propionibacterium acnes subsp. acnes; Cutibacterium acnes; Cutibacterium; Propionibacteriaceae; Propionibacteriales; Actinobacteria; Actinobacteria; Terrabacteria group; Bacteria; cellular organisms
CP003196.1, Chromosome, 2522885, 1114967, Propionibacterium acnes TypeIA2 P.acn17 (high GC Gram+), Propionibacterium acnes subsp. acnes; Cutibacterium acnes; Cutibacterium; Propionibacteriaceae; Propionibacteriales; Actinobacteria; Actinobacteria; Terrabacteria group; Bacteria; cellular organisms
CP003197.1, Chromosome, 2498766, 1114969, Propionibacterium acnes TypeIA2 P.acn31 (high GC Gram+), Propionibacterium acnes subsp. acnes; Cutibacterium acnes; Cutibacterium; Propionibacteriaceae; Propionibacteriales; Actinobacteria; Actinobacteria; Terrabacteria group; Bacteria; cellular organisms
CP003222.2, Chromosome, 3162432, 1041826, Flavobacterium columnare ATCC 49512 (CFB group bacteria), Flavobacterium columnare; Flavobacterium; Flavobacteriaceae; Flavobacteriales; Flavobacteriia; Bacteroidetes; Bacteroidetes/Chlorobi group; FCB group; Bacteria; cellular organisms
CP003219.1, Chromosome, 6282967, 1003195, Streptomyces cattleya NRRL 8057 = DSM 46488 (high GC Gram+), Streptomyces cattleya; Streptomyces; Streptomycetaceae; Streptomycetales; Actinobacteria; Actinobacteria; Terrabacteria group; Bacteria; cellular organisms
CP003229.1, Plasmid, 1812548, 1003195, Streptomyces cattleya NRRL 8057 = DSM 46488 (high GC Gram+), Streptomyces cattleya; Streptomyces; Streptomycetaceae; Streptomycetales; Actinobacteria; Actinobacteria; Terrabacteria group; Bacteria; cellular organisms
CP003200.1, Chromosome, 5333942, 1125630, Klebsiella pneumoniae subsp. pneumoniae HS11286 (enterobacteria), Klebsiella pneumoniae subsp. pneumoniae; Klebsiella pneumoniae; Klebsiella; Enterobacteriaceae; Enterobacterales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
CP003223.1, Plasmid, 122799, 1125630, Klebsiella pneumoniae subsp. pneumoniae HS11286 (enterobacteria), Klebsiella pneumoniae subsp. pneumoniae; Klebsiella pneumoniae; Klebsiella; Enterobacteriaceae; Enterobacterales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
CP003224.1, Plasmid, 111195, 1125630, Klebsiella pneumoniae subsp. pneumoniae HS11286 (enterobacteria), Klebsiella pneumoniae subsp. pneumoniae; Klebsiella pneumoniae; Klebsiella; Enterobacteriaceae; Enterobacterales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
CP003225.1, Plasmid, 105974, 1125630, Klebsiella pneumoniae subsp. pneumoniae HS11286 (enterobacteria), Klebsiella pneumoniae subsp. pneumoniae; Klebsiella pneumoniae; Klebsiella; Enterobacteriaceae; Enterobacterales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
CP003226.1, Plasmid, 3751, 1125630, Klebsiella pneumoniae subsp. pneumoniae HS11286 (enterobacteria), Klebsiella pneumoniae subsp. pneumoniae; Klebsiella pneumoniae; Klebsiella; Enterobacteriaceae; Enterobacterales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
CP003227.1, Plasmid, 3353, 1125630, Klebsiella pneumoniae subsp. pneumoniae HS11286 (enterobacteria), Klebsiella pneumoniae subsp. pneumoniae; Klebsiella pneumoniae; Klebsiella; Enterobacteriaceae; Enterobacterales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
CP003228.1, Plasmid, 1308, 1125630, Klebsiella pneumoniae subsp. pneumoniae HS11286 (enterobacteria), Klebsiella pneumoniae subsp. pneumoniae; Klebsiella pneumoniae; Klebsiella; Enterobacteriaceae; Enterobacterales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
CP003218.1, Chromosome, 5974109, 1134687, Klebsiella michiganensis (enterobacteria), Klebsiella; Enterobacteriaceae; Enterobacterales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
CP003099.1, Chromosome, 2136808, 754507, Aggregatibacter actinomycetemcomitans ANH9381 (g-proteobacteria), Aggregatibacter actinomycetemcomitans; Aggregatibacter; Pasteurellaceae; Pasteurellales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
CP003231.1, Chromosome, 837480, 1129369, Mycoplasma hyorhinis GDL-1 (mycoplasmas), Mycoplasma hyorhinis; Mycoplasma; Mycoplasmataceae; Mycoplasmatales; Mollicutes; Tenericutes; Terrabacteria group; Bacteria; cellular organisms
CP003241.1, Chromosome, 3478307, 1116375, Vibrio sp. EJY3 (g-proteobacteria), Vibrio; Vibrionaceae; Vibrionales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
CP003242.1, Chromosome, 1974339, 1116375, Vibrio sp. EJY3 (g-proteobacteria), Vibrio; Vibrionaceae; Vibrionales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AP014881.1, Chromosome, 2902389, 1006554, Acetobacter pasteurianus NBRC 101655 (a-proteobacteria), Acetobacter pasteurianus; Acetobacter; Acetobacteraceae; Rhodospirillales; Alphaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AP014882.1, Plasmid, 187193, 1006554, Acetobacter pasteurianus NBRC 101655 (a-proteobacteria), Acetobacter pasteurianus; Acetobacter; Acetobacteraceae; Rhodospirillales; Alphaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AP014883.1, Plasmid, 6331, 1006554, Acetobacter pasteurianus NBRC 101655 (a-proteobacteria), Acetobacter pasteurianus; Acetobacter; Acetobacteraceae; Rhodospirillales; Alphaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AP014884.1, Plasmid, 2799, 1006554, Acetobacter pasteurianus NBRC 101655 (a-proteobacteria), Acetobacter pasteurianus; Acetobacter; Acetobacteraceae; Rhodospirillales; Alphaproteobacteria; Proteobacteria; Bacteria; cellular organisms
AP014885.1, Plasmid, 2278, 1006554, Acetobacter pasteurianus NBRC 101655 (a-proteobacteria), Acetobacter pasteurianus; Acetobacter; Acetobacteraceae; Rhodospirillales; Alphaproteobacteria; Proteobacteria; Bacteria; cellular organisms
CP003152.1, Chromosome, 2337938, 1087452, Corynebacterium pseudotuberculosis 3/99-5 (high GC Gram+), Corynebacterium pseudotuberculosis; Corynebacterium; Corynebacteriaceae; Corynebacteriales; Actinobacteria; Actinobacteria; Terrabacteria group; Bacteria; cellular organisms
CP003206.1, Chromosome, 2535346, 698962, Corynebacterium diphtheriae 31A (high GC Gram+), Corynebacterium diphtheriae; Corynebacterium; Corynebacteriaceae; Corynebacteriales; Actinobacteria; Actinobacteria; Terrabacteria group; Bacteria; cellular organisms
CP003207.1, Chromosome, 2426551, 698966, Corynebacterium diphtheriae 241 (high GC Gram+), Corynebacterium diphtheriae; Corynebacterium; Corynebacteriaceae; Corynebacteriales; Actinobacteria; Actinobacteria; Terrabacteria group; Bacteria; cellular organisms
CP003208.1, Chromosome, 2449071, 698972, Corynebacterium diphtheriae INCA 402 (high GC Gram+), Corynebacterium diphtheriae; Corynebacterium; Corynebacteriaceae; Corynebacteriales; Actinobacteria; Actinobacteria; Terrabacteria group; Bacteria; cellular organisms
CP003209.1, Chromosome, 2485519, 698973, Corynebacterium diphtheriae BH8 (high GC Gram+), Corynebacterium diphtheriae; Corynebacterium; Corynebacteriaceae; Corynebacteriales; Actinobacteria; Actinobacteria; Terrabacteria group; Bacteria; cellular organisms
CP003350.1, Chromosome, 3603458, 767434, Frateuria aurantia DSM 6220 (g-proteobacteria), Frateuria aurantia; Frateuria; Rhodanobacteraceae; Xanthomonadales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
CP003368.1, Chromosome, 1890695, 908937, Prevotella dentalis DSM 3688 (CFB group bacteria), Prevotella dentalis; Prevotella; Prevotellaceae; Bacteroidales; Bacteroidia; Bacteroidetes; Bacteroidetes/Chlorobi group; FCB group; Bacteria; cellular organisms
CP003369.1, Chromosome, 1450390, 908937, Prevotella dentalis DSM 3688 (CFB group bacteria), Prevotella dentalis; Prevotella; Prevotellaceae; Bacteroidales; Bacteroidia; Bacteroidetes; Bacteroidetes/Chlorobi group; FCB group; Bacteria; cellular organisms
CP003370.1, Plasmid, 4946, 908937, Prevotella dentalis DSM 3688 (CFB group bacteria), Prevotella dentalis; Prevotella; Prevotellaceae; Bacteroidales; Bacteroidia; Bacteroidetes; Bacteroidetes/Chlorobi group; FCB group; Bacteria; cellular organisms
CP003371.1, Plasmid, 4175, 908937, Prevotella dentalis DSM 3688 (CFB group bacteria), Prevotella dentalis; Prevotella; Prevotellaceae; Bacteroidales; Bacteroidia; Bacteroidetes; Bacteroidetes/Chlorobi group; FCB group; Bacteria; cellular organisms
CP003364.1, Chromosome, 9629675, 886293, Singulisphaera acidiphila DSM 18658 (planctomycetes), Singulisphaera acidiphila; Singulisphaera; Isosphaeraceae; Planctomycetales; Planctomycetia; Planctomycetes; PVC group; Bacteria; cellular organisms
CP003365.1, Plasmid, 54731, 886293, Singulisphaera acidiphila DSM 18658 (planctomycetes), Singulisphaera acidiphila; Singulisphaera; Isosphaeraceae; Planctomycetales; Planctomycetia; Planctomycetes; PVC group; Bacteria; cellular organisms
CP003366.1, Plasmid, 39149, 886293, Singulisphaera acidiphila DSM 18658 (planctomycetes), Singulisphaera acidiphila; Singulisphaera; Isosphaeraceae; Planctomycetales; Planctomycetia; Planctomycetes; PVC group; Bacteria; cellular organisms
CP003367.1, Plasmid, 32131, 886293, Singulisphaera acidiphila DSM 18658 (planctomycetes), Singulisphaera acidiphila; Singulisphaera; Isosphaeraceae; Planctomycetales; Planctomycetia; Planctomycetes; PVC group; Bacteria; cellular organisms
CP003282.1, Chromosome, 3285855, 889378, Spirochaeta africana DSM 8902 (spirochetes), Spirochaeta africana; Spirochaeta; Spirochaetaceae; Spirochaetales; Spirochaetia; Spirochaetes; Bacteria; cellular organisms
CP003349.1, Chromosome, 5202069, 929556, Solitalea canadensis DSM 3403 (CFB group bacteria), Solitalea canadensis; Solitalea; Sphingobacteriaceae; Sphingobacteriales; Sphingobacteriia; Bacteroidetes; Bacteroidetes/Chlorobi group; FCB group; Bacteria; cellular organisms
CP003214.1, Chromosome, 2478364, 698969, Corynebacterium diphtheriae HC03 (high GC Gram+), Corynebacterium diphtheriae; Corynebacterium; Corynebacteriaceae; Corynebacteriales; Actinobacteria; Actinobacteria; Terrabacteria group; Bacteria; cellular organisms
CP004065.1, Chromosome, 3928857, 1091041, Bacillus amyloliquefaciens IT-45 (firmicutes), Bacillus amyloliquefaciens; Bacillus amyloliquefaciens group; Bacillus subtilis group; Bacillus; Bacillaceae; Bacillales; Bacilli; Firmicutes; Terrabacteria group; Bacteria; cellular organisms
CP004119.1, Plasmid, 8009, 1091041, Bacillus amyloliquefaciens IT-45 (firmicutes), Bacillus amyloliquefaciens; Bacillus amyloliquefaciens group; Bacillus subtilis group; Bacillus; Bacillaceae; Bacillales; Bacilli; Firmicutes; Terrabacteria group; Bacteria; cellular organisms
CP005586.1, Chromosome, 4815602, 666686, Bacillus sp. 1NLA3E (firmicutes), Bacillus; Bacillaceae; Bacillales; Bacilli; Firmicutes; Terrabacteria group; Bacteria; cellular organisms
CP007053.1, Chromosome, 7317842, 794903, Opitutaceae bacterium TAV5 (verrucomicrobia), unclassified Opitutaceae; Opitutaceae; Opitutales; Opitutae; Verrucomicrobia; PVC group; Bacteria; cellular organisms
CP007054.1, Plasmid, 99831, 794903, Opitutaceae bacterium TAV5 (verrucomicrobia), unclassified Opitutaceae; Opitutaceae; Opitutales; Opitutae; Verrucomicrobia; PVC group; Bacteria; cellular organisms
CP003171.1, Chromosome, 3514537, 511062, Oceanimonas sp. GK1 (g-proteobacteria), Oceanimonas; Aeromonadaceae; Aeromonadales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
CP003172.1, Plasmid, 8462, 511062, Oceanimonas sp. GK1 (g-proteobacteria), Oceanimonas; Aeromonadaceae; Aeromonadales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
CP003173.1, Plasmid, 4245, 511062, Oceanimonas sp. GK1 (g-proteobacteria), Oceanimonas; Aeromonadaceae; Aeromonadales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
CP007035.1, Chromosome, 4697343, 929713, Niabella soli DSM 19437 (CFB group bacteria), Niabella soli; Niabella; Chitinophagaceae; Chitinophagales; Chitinophagia; Bacteroidetes; Bacteroidetes/Chlorobi group; FCB group; Bacteria; cellular organisms
CP003344.1, Chromosome, 3624449, 871963, Desulfitobacterium dichloroeliminans LMG P-21439 (firmicutes), Desulfitobacterium dichloroeliminans; Desulfitobacterium; Peptococcaceae; Clostridiales; Clostridia; Firmicutes; Terrabacteria group; Bacteria; cellular organisms
CP003348.1, Chromosome, 4321753, 756499, Desulfitobacterium dehalogenans ATCC 51507 (firmicutes), Desulfitobacterium dehalogenans; Desulfitobacterium; Peptococcaceae; Clostridiales; Clostridia; Firmicutes; Terrabacteria group; Bacteria; cellular organisms
CP003259.1, Chromosome, 4613747, 755731, Clostridium sp. BNL1100 (firmicutes), Clostridium; Clostridiaceae; Clostridiales; Clostridia; Firmicutes; Terrabacteria group; Bacteria; cellular organisms
CP003275.1, Chromosome, 10145833, 1133850, Streptomyces hygroscopicus subsp. jinggangensis 5008 (high GC Gram+), Streptomyces hygroscopicus subsp. jinggangensis; Streptomyces hygroscopicus; Streptomyces; Streptomycetaceae; Streptomycetales; Actinobacteria; Actinobacteria; Terrabacteria group; Bacteria; cellular organisms
CP003276.1, Plasmid, 164566, 1133850, Streptomyces hygroscopicus subsp. jinggangensis 5008 (high GC Gram+), Streptomyces hygroscopicus subsp. jinggangensis; Streptomyces hygroscopicus; Streptomyces; Streptomycetaceae; Streptomycetales; Actinobacteria; Actinobacteria; Terrabacteria group; Bacteria; cellular organisms
CP003277.1, Plasmid, 73285, 1133850, Streptomyces hygroscopicus subsp. jinggangensis 5008 (high GC Gram+), Streptomyces hygroscopicus subsp. jinggangensis; Streptomyces hygroscopicus; Streptomyces; Streptomycetaceae; Streptomycetales; Actinobacteria; Actinobacteria; Terrabacteria group; Bacteria; cellular organisms
CP003033.1, Chromosome, 2692570, 1028799, Staphylococcus aureus subsp. aureus VC40 (firmicutes), Staphylococcus aureus subsp. aureus; Staphylococcus aureus; Staphylococcus; Staphylococcaceae; Bacillales; Bacilli; Firmicutes; Terrabacteria group; Bacteria; cellular organisms
CP003109.1, Chromosome, 5263980, 1048689, Escherichia coli O55:H7 str. RM12579 (E. coli), Escherichia coli O55:H7; Escherichia coli; Escherichia; Enterobacteriaceae; Enterobacterales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
CP003110.1, Plasmid, 94015, 1048689, Escherichia coli O55:H7 str. RM12579 (E. coli), Escherichia coli O55:H7; Escherichia coli; Escherichia; Enterobacteriaceae; Enterobacterales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
CP003111.1, Plasmid, 66078, 1048689, Escherichia coli O55:H7 str. RM12579 (E. coli), Escherichia coli O55:H7; Escherichia coli; Escherichia; Enterobacteriaceae; Enterobacterales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
CP003112.1, Plasmid, 12068, 1048689, Escherichia coli O55:H7 str. RM12579 (E. coli), Escherichia coli O55:H7; Escherichia coli; Escherichia; Enterobacteriaceae; Enterobacterales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
CP003113.1, Plasmid, 6211, 1048689, Escherichia coli O55:H7 str. RM12579 (E. coli), Escherichia coli O55:H7; Escherichia coli; Escherichia; Enterobacteriaceae; Enterobacterales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
CP003114.1, Plasmid, 5954, 1048689, Escherichia coli O55:H7 str. RM12579 (E. coli), Escherichia coli O55:H7; Escherichia coli; Escherichia; Enterobacteriaceae; Enterobacterales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
CP003278.1, Chromosome, 4768352, 1132507, Salmonella enterica subsp. enterica serovar Typhi str. P-stx-12 (enterobacteria), Salmonella enterica subsp. enterica serovar Typhi; Salmonella enterica subsp. enterica; Salmonella enterica; Salmonella; Enterobacteriaceae; Enterobacterales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
CP003279.1, Plasmid, 181431, 1132507, Salmonella enterica subsp. enterica serovar Typhi str. P-stx-12 (enterobacteria), Salmonella enterica subsp. enterica serovar Typhi; Salmonella enterica subsp. enterica; Salmonella enterica; Salmonella; Enterobacteriaceae; Enterobacterales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
CP003295.1, Chromosome, 1988420, 1069533, Streptococcus infantarius subsp. infantarius CJ18 (firmicutes), Streptococcus infantarius subsp. infantarius; Streptococcus infantarius; Streptococcus; Streptococcaceae; Lactobacillales; Bacilli; Firmicutes; Terrabacteria group; Bacteria; cellular organisms
CP003296.1, Plasmid, 19829, 1069533, Streptococcus infantarius subsp. infantarius CJ18 (firmicutes), Streptococcus infantarius subsp. infantarius; Streptococcus infantarius; Streptococcus; Streptococcaceae; Lactobacillales; Bacilli; Firmicutes; Terrabacteria group; Bacteria; cellular organisms
CP003178.1, Chromosome, 9033684, 700598, Niastella koreensis GR20-10 (CFB group bacteria), Niastella koreensis; Niastella; Chitinophagaceae; Chitinophagales; Chitinophagia; Bacteroidetes; Bacteroidetes/Chlorobi group; FCB group; Bacteria; cellular organisms
CP003315.1, Chromosome, 719535, 1142511, Wigglesworthia glossinidia endosymbiont of Glossina morsitans morsitans (Yale colony) (enterobacteria), Wigglesworthia glossinidia endosymbiont of Glossina morsitans; Wigglesworthia glossinidia; Wigglesworthia; Erwiniaceae; Enterobacterales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
CP002987.1, Chromosome, 4044777, 931626, Acetobacterium woodii DSM 1030 (firmicutes), Acetobacterium woodii; Acetobacterium; Eubacteriaceae; Clostridiales; Clostridia; Firmicutes; Terrabacteria group; Bacteria; cellular organisms
CP003119.1, Chromosome, 5669805, 1112204, Gordonia polyisoprenivorans VH2 (high GC Gram+), Gordonia polyisoprenivorans; Gordonia; Gordoniaceae; Corynebacteriales; Actinobacteria; Actinobacteria; Terrabacteria group; Bacteria; cellular organisms
CP003120.1, Plasmid, 174494, 1112204, Gordonia polyisoprenivorans VH2 (high GC Gram+), Gordonia polyisoprenivorans; Gordonia; Gordoniaceae; Corynebacteriales; Actinobacteria; Actinobacteria; Terrabacteria group; Bacteria; cellular organisms
CP011013.1, Chromosome, 2326299, 1130798, Lactobacillus mucosae LM1 (firmicutes), Lactobacillus mucosae; Lactobacillus; Lactobacillaceae; Lactobacillales; Bacilli; Firmicutes; Terrabacteria group; Bacteria; cellular organisms
CP011014.1, Plasmid, 108311, 1130798, Lactobacillus mucosae LM1 (firmicutes), Lactobacillus mucosae; Lactobacillus; Lactobacillaceae; Lactobacillales; Bacilli; Firmicutes; Terrabacteria group; Bacteria; cellular organisms
CP003077.1, Chromosome, 2310415, 1074485, Corynebacterium pseudotuberculosis 316 (high GC Gram+), Corynebacterium pseudotuberculosis; Corynebacterium; Corynebacteriaceae; Corynebacteriales; Actinobacteria; Actinobacteria; Terrabacteria group; Bacteria; cellular organisms
CP003048.1, Chromosome, 1968651, 1001542, Francisella tularensis subsp. tularensis TIGB03 (g-proteobacteria), Francisella tularensis subsp. tularensis TI0902; Francisella tularensis subsp. tularensis; Francisella tularensis; Francisella; Francisellaceae; Thiotrichales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
CP003049.1, Chromosome, 1892744, 1001534, Francisella tularensis subsp. tularensis TI0902 (g-proteobacteria), Francisella tularensis subsp. tularensis; Francisella tularensis; Francisella; Francisellaceae; Thiotrichales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
CP002831.1, Chromosome, 4345237, 984262, Saprospira grandis str. Lewin (CFB group bacteria), Saprospira grandis; Saprospira; Saprospiraceae; Saprospirales; Saprospiria; Bacteroidetes; Bacteroidetes/Chlorobi group; FCB group; Bacteria; cellular organisms
CP002832.1, Plasmid, 54948, 984262, Saprospira grandis str. Lewin (CFB group bacteria), Saprospira grandis; Saprospira; Saprospiraceae; Saprospirales; Saprospiria; Bacteroidetes; Bacteroidetes/Chlorobi group; FCB group; Bacteria; cellular organisms
CP003235.1, Chromosome, 8739048, 1116391, Paenibacillus mucilaginosus 3016 (firmicutes), Paenibacillus mucilaginosus; Paenibacillus; Paenibacillaceae; Bacillales; Bacilli; Firmicutes; Terrabacteria group; Bacteria; cellular organisms
CP003876.1, Chromosome, 9436348, 1133849, Nocardia brasiliensis ATCC 700358 (high GC Gram+), Nocardia brasiliensis; Nocardia; Nocardiaceae; Corynebacteriales; Actinobacteria; Actinobacteria; Terrabacteria group; Bacteria; cellular organisms
CP003330.1, Chromosome, 3007450, 1134456, Vibrio cholerae IEC224 (g-proteobacteria), Vibrio cholerae O1; Vibrio cholerae; Vibrio; Vibrionaceae; Vibrionales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
CP003331.1, Chromosome, 1072136, 1134456, Vibrio cholerae IEC224 (g-proteobacteria), Vibrio cholerae O1; Vibrio cholerae; Vibrio; Vibrionaceae; Vibrionales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
CP003116.1, Chromosome, 1750832, 798300, Streptococcus pyogenes MGAS15252 (firmicutes), Streptococcus pyogenes serotype M59; Streptococcus pyogenes; Streptococcus; Streptococcaceae; Lactobacillales; Bacilli; Firmicutes; Terrabacteria group; Bacteria; cellular organisms
CP003121.1, Chromosome, 1781029, 1010840, Streptococcus pyogenes MGAS1882 (firmicutes), Streptococcus pyogenes; Streptococcus; Streptococcaceae; Lactobacillales; Bacilli; Firmicutes; Terrabacteria group; Bacteria; cellular organisms
CP003351.1, Chromosome, 2955294, 1155766, Enterococcus faecium Aus0004 (firmicutes), Enterococcus faecium; Enterococcus; Enterococcaceae; Lactobacillales; Bacilli; Firmicutes; Terrabacteria group; Bacteria; cellular organisms
CP003352.1, Plasmid, 56520, 1155766, Enterococcus faecium Aus0004 (firmicutes), Enterococcus faecium; Enterococcus; Enterococcaceae; Lactobacillales; Bacilli; Firmicutes; Terrabacteria group; Bacteria; cellular organisms
CP003353.1, Plasmid, 3847, 1155766, Enterococcus faecium Aus0004 (firmicutes), Enterococcus faecium; Enterococcus; Enterococcaceae; Lactobacillales; Bacilli; Firmicutes; Terrabacteria group; Bacteria; cellular organisms
CP003354.1, Plasmid, 4119, 1155766, Enterococcus faecium Aus0004 (firmicutes), Enterococcus faecium; Enterococcus; Enterococcaceae; Lactobacillales; Bacilli; Firmicutes; Terrabacteria group; Bacteria; cellular organisms
CP003357.2, Chromosome, 2150813, 1130804, Streptococcus pneumoniae ST556 (firmicutes), Streptococcus pneumoniae; Streptococcus; Streptococcaceae; Lactobacillales; Bacilli; Firmicutes; Terrabacteria group; Bacteria; cellular organisms
CP003375.1, Chromosome, 1275720, 1105109, Rickettsia slovaca str. D-CWPP (a-proteobacteria), Rickettsia slovaca; spotted fever group; Rickettsia; Rickettsieae; Rickettsiaceae; Rickettsiales; Alphaproteobacteria; Proteobacteria; Bacteria; cellular organisms
CP002191.1, Chromosome, 3137147, 745776, Deinococcus gobiensis I-0 (bacteria), Deinococcus gobiensis; Deinococcus; Deinococcaceae; Deinococcales; Deinococci; Deinococcus-Thermus; Terrabacteria group; Bacteria; cellular organisms
CP002192.1, Plasmid, 432699, 745776, Deinococcus gobiensis I-0 (bacteria), Deinococcus gobiensis; Deinococcus; Deinococcaceae; Deinococcales; Deinococci; Deinococcus-Thermus; Terrabacteria group; Bacteria; cellular organisms
CP002193.1, Plasmid, 424524, 745776, Deinococcus gobiensis I-0 (bacteria), Deinococcus gobiensis; Deinococcus; Deinococcaceae; Deinococcales; Deinococci; Deinococcus-Thermus; Terrabacteria group; Bacteria; cellular organisms
CP002194.1, Plasmid, 231600, 745776, Deinococcus gobiensis I-0 (bacteria), Deinococcus gobiensis; Deinococcus; Deinococcaceae; Deinococcales; Deinococci; Deinococcus-Thermus; Terrabacteria group; Bacteria; cellular organisms
CP002195.1, Plasmid, 72036, 745776, Deinococcus gobiensis I-0 (bacteria), Deinococcus gobiensis; Deinococcus; Deinococcaceae; Deinococcales; Deinococci; Deinococcus-Thermus; Terrabacteria group; Bacteria; cellular organisms
CP002196.1, Plasmid, 54602, 745776, Deinococcus gobiensis I-0 (bacteria), Deinococcus gobiensis; Deinococcus; Deinococcaceae; Deinococcales; Deinococci; Deinococcus-Thermus; Terrabacteria group; Bacteria; cellular organisms
CP002197.1, Plasmid, 53428, 745776, Deinococcus gobiensis I-0 (bacteria), Deinococcus gobiensis; Deinococcus; Deinococcaceae; Deinococcales; Deinococci; Deinococcus-Thermus; Terrabacteria group; Bacteria; cellular organisms
CP003388.1, Chromosome, 2164087, 693978, Riemerella anatipestifer ATCC 11845 = DSM 15868 (CFB group bacteria), Riemerella anatipestifer; Riemerella; Flavobacteriaceae; Flavobacteriales; Flavobacteriia; Bacteroidetes; Bacteroidetes/Chlorobi group; FCB group; Bacteria; cellular organisms
CP003386.1, Chromosome, 4876219, 1008297, Salmonella enterica subsp. enterica serovar Typhimurium str. 798 (enterobacteria), Salmonella enterica subsp. enterica serovar Typhimurium; Salmonella enterica subsp. enterica; Salmonella enterica; Salmonella; Enterobacteriaceae; Enterobacterales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
CP003387.1, Plasmid, 93877, 1008297, Salmonella enterica subsp. enterica serovar Typhimurium str. 798 (enterobacteria), Salmonella enterica subsp. enterica serovar Typhimurium; Salmonella enterica subsp. enterica; Salmonella enterica; Salmonella; Enterobacteriaceae; Enterobacterales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
FR687253.1, Chromosome, 2928879, 881621, Listeria ivanovii subsp. ivanovii PAM 55 (firmicutes), Listeria ivanovii subsp. ivanovii; Listeria ivanovii; Listeria; Listeriaceae; Bacillales; Bacilli; Firmicutes; Terrabacteria group; Bacteria; cellular organisms
FR877557.1, Chromosome, 4460105, 218493, Salmonella bongori NCTC 12419 (enterobacteria), Salmonella bongori; Salmonella; Enterobacteriaceae; Enterobacterales; Gammaproteobacteria; Proteobacteria; Bacteria; cellular organisms
FN645454.1, Chromosome, 1522743, 696125, Bartonella clarridgeiae 73 (a-proteobacteria), Bartonella clarridgeiae; Bartonella; Bartonellaceae; Rhizobiales; Alphaproteobacteria; Proteobacteria; Bacteria; cellular organisms
FR872580.1, Chromosome, 3072383, 765952, Parachlamydia acanthamoebae UV-7 (chlamydias), Parachlamydia acanthamoebae; Parachlamydia; Parachlamydiaceae; Parachlamydiales; Chlamydiia; Chlamydiae; PVC group; Bacteria; cellular organisms
FQ377874.1, Chromosome, 1153998, 862259, Mycoplasma mycoides subsp. capri LC str. 95010 (mycoplasmas), Mycoplasma mycoides subsp. capri LC; Mycoplasma mycoides subsp. capri; Mycoplasma mycoides; Mycoplasma mycoides group; Mycoplasma; Mycoplasmataceae; Mycoplasmatales; Mollicutes; Tenericutes; Terrabacteria group; Bacteria; cellular organisms
